dataset_id,title,description,short_description,citation,link
Almoammer_Barner_2013,"Almoammer et al., 2013","How does cross-linguistic variation in linguistic structure affect children’s acquisition of early number word meanings? We tested this question by investigating number word learning in two unrelated languages that feature a tripartite singular-dual-plural distinction: Slovenian and Saudi Arabic. We found that learning dual morphology affects children’s acquisition of the number word two in both languages, relative to English. Children who knew the meaning of two were surprisingly frequent in the dual languages, relative to English. Furthermore, Slovenian children were faster to learn two than children learning English, despite being less-competent counters. Finally, in both Slovenian and Saudi Arabic, comprehension of the dual was correlated with knowledge of two and higher number words.","Children's number word learning in Slovenian and Saudi Arabic, two languages that feature a tripartitue singular-dual-plural distinction. ","Almoammer, A., Sullivan, J., Donlan, C., Marušič, F., Žaucer, R., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",10.1073/pnas.1313652110
Barner_Takasaki_2009,"Barner et al., 2009","A study of 104 Japanese-speaking 2- to 5-year-olds tested the relation between numeral and quantifier acquisition. A first study assessed Japanese children’s comprehension of quantifiers, numerals, and classifiers. Relative to English-speaking counterparts, Japanese children were delayed in numeral comprehension at 2 years of age but showed no difference at 3 and 4 years of age. Also, Japanese 2-year-olds had better comprehension of quantifiers, indicating that their delay was specific to numerals. A second study examined the speech of Japanese and English caregivers to explore the syntactic cues that might affect integer acquisition. Quantifiers and numerals occurred in similar syntactic positions and overlapped to a greater degree in English than in Japanese. Also, Japanese nouns were often dropped, and both quantifiers and numerals exhibited variable positions relative to the nouns they modified. We conclude that syntactic cues in English facilitate bootstrapping numeral meanings from quantifier meanings and that such cues are weaker in classifier languages such as Japanese.","Japanese children’s comprehension of quantifiers, numerals, and classifiers.","Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese. Journal of experimental child psychology, 103(4), 421-440.",10.1016/j.jecp.2008.12.001
Barner_Yang_2009,"Barner, Chow & Yang, 2009","We explored children’s early interpretation of numerals and linguistic number marking, in order to test the hypothesis (e.g., Carey (2004). Bootstrapping and the origin of concepts. Daedalus, 59–68) that children’s initial distinction between one and other numerals (i.e., two, three, etc.) is bootstrapped from a prior distinction between singular and plural nouns. Previous studies have presented evidence that in languages without singular–plural morphology, like Japanese and Chinese, children acquire the meaning of the word one later than in singular–plural languages like English and Russian. In two experiments, we sought to corroborate this relation between grammatical number and integer acquisition within English. We found a significant correlation between children’s comprehension of numerals and a large set of natural language quantifiers and determiners, even when controlling for effects due to age. However, we also found that 2-year-old children, who are just acquiring singular–plural morphology and the word one, fail to assign an exact interpretation to singular noun phrases (e.g., a banana), despite interpreting one as exact. For example, in a Truth-Value Judgment task, most children judged that a banana was consistent with a set of two objects, despite rejecting sets of two for the numeral one. Also, children who gave exactly one object for singular nouns did not have a better comprehension of numerals relative to children who did not give exactly one. Thus, we conclude that the correlation between quantifier comprehension and numeral comprehension in children of this age is not attributable to the singular–plural distinction facilitating the acquisition of the word one. We argue that quantifiers play a more general role in highlighting the semantic function of numerals, and that children distinguish between numerals and other quantifiers from the beginning, assigning exact interpretations only to numerals. ",Children's numeral comprehension vs. their understanding of quantifiers and determiners.,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",10.1016/j.cogpsych.2008.07.001
ManyNumbers,ManyNumbers,"Variability in early number knowledge is related to later academic achievementbut has been studied mainly in small-scale studies in a limited set of cultural contexts, raising questions about the generalizability of existing theoretical constructs, and about the extent of global variability in number skills. To address this, we propose a multi-lab international study of early number knowledge that will include data from more than 130sites, sampled from 34countries, and including approximately 3,120two-to five-year-old participants. Our first goal is to document international variability in measures of early numeracy including children’s ability to perceptually discriminate sets, rote counting skills, and their comprehension of number words, and how such variability is related to factors such as gender, age, and general cognitive ability. Our second goal is to probe the mechanisms that support early comprehension of number words. To do so, we will ask how number word knowledge relates to rote counting skill and perceptual discrimination of number, and whether children’s knowledge of large number word meanings depends critically on counting skills, or, alternatively, is supported purely by non-linguistic representations of number. ",Multi-lab international study of early number knowledge ,ManyNumbers Consortium,
Marchand2019,"Marchand et al., 2019","How does cross-linguistic variation in grammatical structureaffect children’s acquisition of number words? In this study,we addressed this question by investigating the case study ofyoung speakers of French, a language in which the number oneand the indefinite article a are phonologically the same (i.e.,un). We tested how French-speaking children interpret un, andwhether it more closely resembles the English word a or one.We found that French-speaking children almost alwaysaccepted sets of 1 for un, but that their responses for sets of 2were more equivocal, with many children saying “Oui” (Yes)when asked whether there was un. Overall, French children’sinterpretation of un differed from how English-speakinginterpret both a and one. This suggests that French-speakingchildren’s interpretation of un reflects the ambiguity of theinput that they are exposed to. We conclude that Frenchmorphological structure may pose a challenge to French-speaking children in acquiring an exact numerical meaning forthe word un, potentially causing a delay in number wordlearning.","French-speaking children's understanding of 'one,' which is phonologically similar to the indefinite article 'a'.","Marchand, E., & Barner, D. (2019). The acquisition of French Un. In Proceedings of the Annual Meeting of the Cognitive Science Society (Vol. 41).",
MarchandUnderRev,"Marchand et al., 2022","The Give-a-Number task has become a gold standard of children's number word comprehension in developmental psychology. Recently, researchers have begun to use the task as a predictor of other developmental milestones. This raises the question of how reliable the task is, since test-retest reliability of any measure places an upper bound on the size of reliable correlations that can be found between it and other measures. In Experiment 1, we presented 81 2- to 5-year-old children with Wynn (1992) titrated version of the Give-a-Number task twice within a single session. We found that the reliability of this version of the task was high overall, but varied importantly across different assigned knower levels, and was very low for some knower levels. In Experiment 2, we assessed the test-retest reliability of the non-titrated version of the Give-a-Number task with another group of 81 children and found a similar pattern of results. Finally, in Experiment 3, we asked whether the two versions of Give-a-Number generated different knower levels within-subjects, by testing 75 children with both tasks. Also, we asked how both tasks relate to another commonly used test of number knowledge, the “What's-On-This-Card” task. We found that overall, the titrated and non-titrated versions of Give-a-Number yielded similar knower levels, though the non-titrated version was slightly more conservative than the titrated version, which produced modestly higher knower levels. Neither was more closely related to “What's-On-This-Card” than the other. We discuss the theoretical and practical implications of these results.",Test-retest reliability of the Give-N task.,"Marchand, E., Lovelett, J. T., Kendro, K., & Barner, D. (2022). Assessing the knower-level framework: How reliable is the Give-a-Number task?. Cognition, 222, 104998.",10.1016/j.cognition.2021.104998
Marusic_Barner_2016,"Marušič et al., 2016","How does linguistic structure affect children’s acquisition of early number word meanings? Previous studies have tested this question by comparing how children learning languages with different grammatical representations of number learn the meanings of labels for small numbers, like 1, 2, and 3. For example, children who acquire a language with singular-plural marking, like English, are faster to learn the word for 1 than children learning a language that lacks the singular-plural distinction, perhaps because the word for 1 is always used in singular contexts, highlighting its meaning. These studies are problematic, however, because reported differences in number word learning may be due to unmeasured cross-cultural differences rather than specific linguistic differences. To address this problem, we investigated number word learning in four groups of children from a single culture who spoke different dialects of the same language that differed chiefly with respect to how they grammatically mark number. We found that learning a dialect which features “dual” morphology (marking of pairs) accelerated children’s acquisition of the number word two relative to learning a “non-dual” dialect of the same language.
",Children's acquisition of 'two' in dialects with and without dual markings. ,"Marušič, F., Žaucer, R., Plesničar, V., Razboršek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian. PloS one, 11(8), e0159208.",10.1371/journal.pone.0159208
Piantadosi_Gibson_2014,"Piantadosi et al., 2014","We show that children in the Tsimane', a farming-foraging group in the Bolivian rain-forest, learn number words along a similar developmental trajectory to children from industrialized countries. Tsimane' children successively acquire the first three or four number words before fully learning how counting works. However, their learning is substantially delayed relative to children from the United States, Russia, and Japan. The presence of a similar developmental trajectory likely indicates that the incremental stages of numerical knowledge – but not their timing — reflect a fundamental property of number concept acquisition which is relatively independent of language, culture, age, and early education.
",Children's number word learning in the Tsimane.,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental science, 17(4), 553-563.",10.1111/desc.12078
Schneider_Barner_2020,"Schneider et al., 2020","We test the hypothesis that children acquire knowledge of the successor function — a foundational principle stating that every natural number n has a successor n + 1 — by learning the productive linguistic rules that govern verbal counting. Previous studies report that speakers of languages with less complex count list morphology have greater counting and mathematical knowledge at earlier ages in comparison to speakers of more complex languages (e.g., Miller & Stigler, 1987). Here, we tested whether differences in count list transparency affected children’s acquisition of the successor function in three languages with relatively transparent count lists (Cantonese, Slovenian, and English) and two languages with relatively opaque count lists (Hindi and Gujarati). We measured 3.5- to 6.5-year-old children’s mastery of their count list’s recursive structure with two tasks assessing productive counting, which we then related to a measure of successor function knowledge. While the more opaque languages were associated with lower counting proficiency and successor function task performance in comparison to the more transparent languages, a unique within-language analytic approach revealed a robust relationship between measures of productive counting and successor knowledge in almost every language. We conclude that learning productive rules of counting is a critical step in acquiring knowledge of recursive successor function across languages, and that the timeline for this learning varies as a function of count list transparency.",Cross-linguistic differences in count list transparency and their effect on successor function learning. ,"Schneider, R. M., Sullivan, J., Marušič, F., Biswas, P., Mišmaš, P., Plesničar, V., & Barner, D. (2020). Do children use language structure to discover the recursive rules of counting?. Cognitive psychology, 117, 101263.",10.1016/j.cogpsych.2019.101263
Schneider_Barner_2021,"Schneider et al., 2021","Although many U.S. children can count sets by 4 years, it is not until 5½–6 years that they understand how counting relates to number—that is, that adding 1 to a set necessitates counting up one number. This study examined two knowledge sources that 3½- to 6-year-olds (N = 136) may leverage to acquire this “successor function”: (a) mastery of productive rules governing count list generation; and (b) training with “+1” math facts. Both productive counting and “+1” math facts were related to understanding that adding 1 to sets entails counting up one number in the count list; however, even children with robust successor knowledge struggled with its arithmetic expression, suggesting they do not generalize the successor function from “+1” math facts.
",Children's acquisition of the successor function. ,"Schneider, R. M., Sullivan, J., Guo, K., & Barner, D. (2021). What counts? Sources of knowledge in children’s acquisition of the successor function. Child Development, 92(4), e476-e492.",10.1111/cdev.13524
